year,merge1_foia13,merge1_foia16,merge1_matched,merge2_foia13,merge2_feds,merge2_matched,merge3_foia13,merge3_buzz,merge3_matched,matched1,matched2,matched3
2000,3792010,1103340,3221852,6124504,879408,883216,5058275,2410217,1976584,.39691657,.11198195,.20927137
2001,3795279,1142642,3244135,6139918,876467,896133,5084644,2466761,1974863,.39649385,.1132551,.2073071
2002,3886309,1190045,3363336,6297883,890885,928278,5205347,2584163,2030332,.39851415,.11436155,.20675811
2003,3953953,1238488,3495037,6436935,896077,952370,5294586,2702018,2092519,.40230745,.11494581,.20740345
2004,4007117,1291951,3456474,6464847,906305,950194,5332751,2728684,2076281,.39477557,.11418754,.20480756
2005,4048502,1332947,3403016,6497746,934717,926278,5369261,2734762,2053081,.38739023,.1108155,.20213252
2006,4086121,1410932,3326907,6517546,953884,898992,5391839,2745429,2041141,.37703106,.10740104,.20053636
2007,4111260,1448038,3335361,5666155,1934552,1794708,5422539,2784373,2042692,.37498468,.19101955,.19929473
2008,4238332,1503458,3464268,4020738,3982370,3716488,5600477,2890974,2120483,.37630308,.31711742,.19982059
2009,4454385,1566293,3626603,4240886,4200912,3876716,5860994,2999096,2239661,.3759197,.31470647,.20177579
2010,4648616,1611329,3753207,4441046,4402345,3999007,6093820,3082496,2327381,.37482771,.311391,.20231591
2011,4722686,1626925,3773030,4519614,4476058,4016931,6163479,3090845,2351853,.37273178,.30869544,.20263804
2012,4677522,1631015,3749659,4475803,4430600,3994128,6102923,3077853,2342866,.37279639,.30960959,.20330951
