year,quarter,merge_foia16a,merge_foia13,merge_matched,obs_foia16a,matched_foia16a_foia13,merge_foia16b,obs_foia16b,matched_foia16b_foia13,merge_foia16c,obs_foia16c,matched_foia16c_foia13,matched
2000,1,23724,272186,810610,834192,.97156048,5172,102620,.94960046,371,144231,.99742776,.97292703
2000,2,25178,265526,832622,857652,.9706431,5164,94076,.94510823,459,144500,.99682355,.97190273
2000,3,25428,256280,824629,849930,.97008222,4759,83967,.94332296,446,145304,.9969306,.97161508
2000,4,26082,256479,807433,833386,.96870357,4749,83409,.94306368,434,145557,.99701834,.97057003
2001,1,28516,277969,806147,834533,.96582997,5377,102940,.94776571,894,145267,.99384582,.96787131
2001,2,30693,273662,840328,870904,.96475732,5541,94998,.94167244,747,146415,.99489808,.96675318
2001,3,31787,268168,833086,864758,.96324176,5461,87080,.93728757,629,147980,.99574941,.96556067
2001,4,31771,268687,819021,850672,.96265191,5560,86682,.93585747,665,149027,.9955377,.96502519
2002,1,32793,291345,815660,848354,.96134514,5925,107137,.94469696,461,150386,.99693453,.96457201
2002,2,35175,284302,848490,883574,.96019012,5695,93366,.93900347,402,153994,.9973895,.96350628
2002,3,39702,295064,864519,904132,.95608824,5590,85548,.93465656,388,156543,.99752146,.96014738
2002,4,44068,315137,877260,921253,.95216513,5785,85716,.93250966,559,159625,.99649805,.95678699
2003,1,45908,334996,875032,920844,.95014572,5991,103862,.94231766,359,159937,.99775535,.95588714
2003,2,49772,325524,896304,945919,.94738239,5905,90251,.93457139,526,162148,.99675608,.95309842
2003,3,49788,318728,884109,933834,.9466843,5758,83031,.93065238,471,163725,.99712324,.95255166
2003,4,52077,322726,866264,918276,.94328827,5694,82689,.93113959,405,166598,.99756902,.95017314
2004,1,56965,343463,857600,914468,.93770695,5709,98851,.94224644,299,167156,.99821126,.9466545
2004,2,59159,336518,885097,944193,.93734437,5690,88824,.93594074,431,167128,.99742115,.94560659
2004,3,65272,336158,873809,938987,.9304868,5471,82862,.93397456,327,167848,.99805182,.94026208
2004,4,67716,335889,860126,927790,.92701364,5378,80583,.93326133,262,167934,.99843985,.9376387
2005,1,70614,352531,850748,921296,.92335361,5370,95053,.94350523,193,169759,.9988631,.93577564
2005,2,72147,343173,869625,941702,.92338657,5122,85367,.94000024,191,170602,.99888045,.93532449
2005,3,75162,339076,855493,930589,.91923177,4973,80154,.93795693,215,171280,.99874473,.93202329
2005,4,78619,338197,839735,918307,.91438705,4897,77132,.93651146,232,173426,.99866223,.92835104
2006,1,44730,355542,822945,867618,.94844508,4867,91785,.94697392,334,218191,.99846923,.95759916
2006,2,45771,350190,848978,894679,.94884086,4731,84073,.94372749,316,219357,.99855942,.9575848
2006,3,46556,347615,837746,884243,.94734931,4354,77653,.94393003,83,222479,.99962693,.95694524
2006,4,45924,348990,828485,874353,.94747657,4465,78169,.94288015,55,224060,.99975455,.95712662
2007,1,46148,362709,820452,866545,.94674486,4582,92517,.95047396,37,223362,.99983436,.95706534
2007,2,47640,357303,849043,896631,.94686776,4594,84016,.94531995,33,224826,.99985319,.95664191
2007,3,49004,352198,846254,895189,.9452585,4481,74798,.94009197,35,227638,.99984622,.95531154
2007,4,60716,367600,829994,890634,.93182832,4598,76086,.9395684,37,230095,.99983919,.94539589
2008,1,61823,386411,829903,891643,.93066394,4713,90885,.94814324,60,233036,.99974251,.94521391
2008,2,52792,372785,877295,930012,.94323516,4789,82672,.94207227,42,236518,.99982244,.95387214
2008,3,53732,371838,880257,933939,.94246733,4637,77820,.94041377,37,239501,.9998455,.95332223
2008,4,54626,375613,876003,930564,.94129795,4770,77675,.93859029,68,242561,.99971968,.95245922
2009,1,56533,393435,877941,934396,.93949783,4841,92047,.94740731,99,244167,.99959457,.95161933
2009,2,57207,389187,917993,975123,.94133353,4684,84503,.94457,74,246663,.99970001,.95256406
2009,3,57969,388364,923253,981135,.94091636,4478,79231,.94348174,57,250367,.99977231,.95231366
2009,4,59220,390673,914682,973785,.93918574,4623,80057,.94225365,60,250618,.99976057,.9510119
2010,1,59800,405140,916791,976483,.9387598,4619,94093,.95091027,94,250504,.99962473,.95116645
2010,2,61846,401667,953240,1014955,.93906528,4720,87625,.94613409,135,251409,.99946302,.95073742
2010,3,62591,398446,951295,1013758,.93825847,4697,81001,.94201308,126,254152,.99950421,.95002341
2010,4,63398,404211,936398,999671,.93658113,4768,83912,.94317859,111,256274,.99956685,.94904155
2011,1,62788,414361,936121,998827,.93713826,4757,94561,.94969386,43,256431,.99983233,.9499281
2011,2,63634,405227,958892,1022445,.93776292,4596,83892,.94521528,38,257068,.99985218,.94992828
2011,3,65595,402894,953830,1019353,.93565035,4459,79423,.94385755,43,257269,.99983287,.94830775
2011,4,65567,402361,928471,993977,.93403572,4375,79748,.94513971,46,256480,.99982065,.94738555
2012,1,65798,413123,925065,990796,.93359077,4483,90218,.95030928,84,256573,.99967259,.94739407
2012,2,66976,406532,951349,1018250,.93422443,4311,82325,.9476344,37,256696,.99985588,.94745046
2012,3,67556,404666,946524,1014013,.93337756,4299,79487,.9459157,38,257093,.99985218,.9467693
2012,4,68321,404416,930938,999188,.93162346,4263,79155,.94614363,329,256435,.99871701,.94537443
