year,quarter,obs_foia13,obs_foia16,obs_feds,obs_buzz
2000,1,1081043,1081043,0,1081043
2000,2,1096228,1096228,0,1096228
2000,3,1079201,1079201,1090482,1079201
2000,4,1062352,1062352,0,1062352
2001,1,1082740,1082740,0,1082740
2001,2,1112317,1112317,0,1112317
2001,3,1099818,1099818,1111496,1099818
2001,4,1086381,1086381,0,1086381
2002,1,1105877,1105877,0,1105877
2002,2,1130934,1130934,0,1130934
2002,3,1146223,1146223,1158854,1146223
2002,4,1166594,1166594,0,1166594
2003,1,1184643,1184643,0,1184643
2003,2,1198318,1198318,0,1198318
2003,3,1180590,1180590,1194091,1180590
2003,4,1167563,1167563,0,1167563
2004,1,1180475,1180475,0,1180475
2004,2,1200145,1200145,0,1200145
2004,3,1189697,1189697,1204043,1189697
2004,4,1176307,1176307,0,1176307
2005,1,1186108,1186108,0,1186108
2005,2,1197671,1197671,0,1197671
2005,3,1182023,1182023,1196638,1182023
2005,4,1168865,1168865,0,1168865
2006,1,1177594,1177594,0,1177594
2006,2,1198109,1198109,0,1198109
2006,3,1184375,1184375,1184375,1184375
2006,4,1176582,1176582,0,1176582
2007,1,1182424,1182424,0,1182424
2007,2,1205473,1205473,0,1205473
2007,3,1197625,1197625,1197625,1197625
2007,4,1196815,1196815,1196815,1196815
2008,1,1215564,1215564,1215564,1215564
2008,2,1249202,1249202,1249202,1249202
2008,3,1251260,1251260,1251260,1251260
2008,4,1250800,1250800,1250800,1250800
2009,1,1270610,1270610,1270610,1270610
2009,2,1306289,1306289,1306289,1306289
2009,3,1310733,1310733,1310733,1310733
2009,4,1304460,1304460,1304909,1304460
2010,1,1321080,1321080,1321783,1321080
2010,2,1353989,1353989,1354714,1353989
2010,3,1348911,1348911,1349681,1348911
2010,4,1339857,1339857,1340663,1339857
2011,1,1349819,1349819,1349819,1349819
2011,2,1363405,1363405,1363405,1363405
2011,3,1356045,1356045,1356045,1356045
2011,4,1330205,1330205,1330205,1330205
2012,1,1337587,1337587,1337587,1337587
2012,2,1357271,1357271,1357271,1357271
2012,3,1350593,1350593,1350593,1350593
2012,4,1334778,1334778,1334778,1334778
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
